Question	Answer	Source	Metadata
What color is a Cyndaquil?	Usually, Cyndaquil is yellow.	https://pokeapi.co/api/v2/pokemon/156	{}
Tell me about Cyndaquil.	Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion.	https://pokeapi.co/api/v2/pokemon/156	{}
What type of Pokémon is Quilava?	Quilava is a fire Pokémon.	https://pokeapi.co/api/v2/pokemon/157	{}
How tall is Quilava?	Quilava is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/157	{}
Where can I find a Quilava?	Quilava is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/157	{}
How much does Quilava weigh?	The average Quilava is about 19 kilograms.	https://pokeapi.co/api/v2/pokemon/157	{}
What color is a Quilava?	Usually, Quilava is yellow.	https://pokeapi.co/api/v2/pokemon/157	{}
Tell me about Quilava.	Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames.	https://pokeapi.co/api/v2/pokemon/157	{}
What type of Pokémon is Typhlosion?	Typhlosion is a fire Pokémon.	https://pokeapi.co/api/v2/pokemon/158	{}
How tall is Typhlosion?	Typhlosion is 1.7 meters tall.	https://pokeapi.co/api/v2/pokemon/158	{}
Where can I find a Typhlosion?	Typhlosion is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/158	{}
How much does Typhlosion weigh?	The average Typhlosion is about 79.5 kilograms.	https://pokeapi.co/api/v2/pokemon/158	{}
What color is a Typhlosion?	Usually, Typhlosion is yellow.	https://pokeapi.co/api/v2/pokemon/158	{}
Tell me about Typhlosion.	Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders.	https://pokeapi.co/api/v2/pokemon/158	{}
What type of Pokémon is Totodile?	Totodile is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/159	{}
How tall is Totodile?	Totodile is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/159	{}
Where can I find a Totodile?	Totodile is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/159	{}
How much does Totodile weigh?	The average Totodile is about 9.5 kilograms.	https://pokeapi.co/api/v2/pokemon/159	{}
What color is a Totodile?	Usually, Totodile is blue.	https://pokeapi.co/api/v2/pokemon/159	{}
Tell me about Totodile.	Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury.	https://pokeapi.co/api/v2/pokemon/159	{}
What type of Pokémon is Croconaw?	Croconaw is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/160	{}
How tall is Croconaw?	Croconaw is 1.1 meters tall.	https://pokeapi.co/api/v2/pokemon/160	{}
Where can I find a Croconaw?	Croconaw is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/160	{}
How much does Croconaw weigh?	The average Croconaw is about 25 kilograms.	https://pokeapi.co/api/v2/pokemon/160	{}
What color is a Croconaw?	Usually, Croconaw is blue.	https://pokeapi.co/api/v2/pokemon/160	{}
Tell me about Croconaw.	Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in.	https://pokeapi.co/api/v2/pokemon/160	{}
What type of Pokémon is Feraligatr?	Feraligatr is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/161	{}
How tall is Feraligatr?	Feraligatr is 2.3 meters tall.	https://pokeapi.co/api/v2/pokemon/161	{}
Where can I find a Feraligatr?	Feraligatr is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/161	{}
How much does Feraligatr weigh?	The average Feraligatr is about 88.8 kilograms.	https://pokeapi.co/api/v2/pokemon/161	{}
What color is a Feraligatr?	Usually, Feraligatr is blue.	https://pokeapi.co/api/v2/pokemon/161	{}
Tell me about Feraligatr.	Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed.	https://pokeapi.co/api/v2/pokemon/161	{}
What type of Pokémon is Sentret?	Sentret is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/162	{}
How tall is Sentret?	Sentret is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/162	{}
Where can I find a Sentret?	Sentret is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/162	{}
How much does Sentret weigh?	The average Sentret is about 6 kilograms.	https://pokeapi.co/api/v2/pokemon/162	{}
What color is a Sentret?	Usually, Sentret is brown.	https://pokeapi.co/api/v2/pokemon/162	{}
Tell me about Sentret.	When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear.	https://pokeapi.co/api/v2/pokemon/162	{}
What type of Pokémon is Furret?	Furret is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/163	{}
How tall is Furret?	Furret is 1.8 meters tall.	https://pokeapi.co/api/v2/pokemon/163	{}
Where can I find a Furret?	Furret is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/163	{}
How much does Furret weigh?	The average Furret is about 32.5 kilograms.	https://pokeapi.co/api/v2/pokemon/163	{}
What color is a Furret?	Usually, Furret is brown.	https://pokeapi.co/api/v2/pokemon/163	{}
Tell me about Furret.	Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet.	https://pokeapi.co/api/v2/pokemon/163	{}
What type of Pokémon is Hoothoot?	Hoothoot is a flying/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/164	{}
How tall is Hoothoot?	Hoothoot is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/164	{}
Where can I find a Hoothoot?	Hoothoot is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/164	{}
How much does Hoothoot weigh?	The average Hoothoot is about 21.2 kilograms.	https://pokeapi.co/api/v2/pokemon/164	{}
What color is a Hoothoot?	Usually, Hoothoot is brown.	https://pokeapi.co/api/v2/pokemon/164	{}
Tell me about Hoothoot.	Every day, it tilts its head in the same rhythm.
A long time ago, people raised these Pokémon
to serve as clocks.	https://pokeapi.co/api/v2/pokemon/164	{}
What type of Pokémon is Noctowl?	Noctowl is a flying/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/165	{}
How tall is Noctowl?	Noctowl is 1.6 meters tall.	https://pokeapi.co/api/v2/pokemon/165	{}
Where can I find a Noctowl?	Noctowl is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/165	{}
How much does Noctowl weigh?	The average Noctowl is about 40.8 kilograms.	https://pokeapi.co/api/v2/pokemon/165	{}
What color is a Noctowl?	Usually, Noctowl is brown.	https://pokeapi.co/api/v2/pokemon/165	{}
Tell me about Noctowl.	With eyes that can see in pitch-darkness, it
never lets its prey escape. Some even call it
“the emperor of dark nights.”	https://pokeapi.co/api/v2/pokemon/165	{}
What type of Pokémon is Ledyba?	Ledyba is a flying/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/166	{}
How tall is Ledyba?	Ledyba is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/166	{}
Where can I find a Ledyba?	Ledyba is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/166	{}
How much does Ledyba weigh?	The average Ledyba is about 10.8 kilograms.	https://pokeapi.co/api/v2/pokemon/166	{}
What color is a Ledyba?	Usually, Ledyba is red.	https://pokeapi.co/api/v2/pokemon/166	{}
Tell me about Ledyba.	This Pokémon is very sensitive to cold. In the
warmth of Alola, it appears quite lively.	https://pokeapi.co/api/v2/pokemon/166	{}
What type of Pokémon is Ledian?	Ledian is a flying/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/167	{}
How tall is Ledian?	Ledian is 1.4 meters tall.	https://pokeapi.co/api/v2/pokemon/167	{}
Where can I find a Ledian?	Ledian is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/167	{}
How much does Ledian weigh?	The average Ledian is about 35.6 kilograms.	https://pokeapi.co/api/v2/pokemon/167	{}
What color is a Ledian?	Usually, Ledian is red.	https://pokeapi.co/api/v2/pokemon/167	{}
Tell me about Ledian.	It’s said that the patterns on its back are
related to the stars in the night sky, but the
details of that relationship remain unclear.	https://pokeapi.co/api/v2/pokemon/167	{}
What type of Pokémon is Spinarak?	Spinarak is a poison/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/168	{}
How tall is Spinarak?	Spinarak is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/168	{}
Where can I find a Spinarak?	Spinarak is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/168	{}
How much does Spinarak weigh?	The average Spinarak is about 8.5 kilograms.	https://pokeapi.co/api/v2/pokemon/168	{}
What color is a Spinarak?	Usually, Spinarak is green.	https://pokeapi.co/api/v2/pokemon/168	{}
Tell me about Spinarak.	With threads from its mouth, it fashions sturdy
webs that won’t break even if you set a rock
on them.	https://pokeapi.co/api/v2/pokemon/168	{}
What type of Pokémon is Ariados?	Ariados is a poison/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/169	{}
How tall is Ariados?	Ariados is 1.1 meters tall.	https://pokeapi.co/api/v2/pokemon/169	{}
Where can I find a Ariados?	Ariados is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/169	{}
How much does Ariados weigh?	The average Ariados is about 33.5 kilograms.	https://pokeapi.co/api/v2/pokemon/169	{}
What color is a Ariados?	Usually, Ariados is red.	https://pokeapi.co/api/v2/pokemon/169	{}
Tell me about Ariados.	Every night, it wanders around in search of
prey, whose movements it restrains by spewing
threads before it bites into them with its fangs.	https://pokeapi.co/api/v2/pokemon/169	{}
What type of Pokémon is Crobat?	Crobat is a flying/poison Pokémon.	https://pokeapi.co/api/v2/pokemon/170	{}
How tall is Crobat?	Crobat is 1.8 meters tall.	https://pokeapi.co/api/v2/pokemon/170	{}
Where can I find a Crobat?	Crobat is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/170	{}
How much does Crobat weigh?	The average Crobat is about 75 kilograms.	https://pokeapi.co/api/v2/pokemon/170	{}
What color is a Crobat?	Usually, Crobat is purple.	https://pokeapi.co/api/v2/pokemon/170	{}
Tell me about Crobat.	Its fangs are so sharp, if it bites you in the dark
and sucks your blood, you won’t notice any pain
or realize you’ve been bitten.	https://pokeapi.co/api/v2/pokemon/170	{}
What type of Pokémon is Chinchou?	Chinchou is a electric/water Pokémon.	https://pokeapi.co/api/v2/pokemon/171	{}
How tall is Chinchou?	Chinchou is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/171	{}
Where can I find a Chinchou?	Chinchou is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/171	{}
How much does Chinchou weigh?	The average Chinchou is about 12 kilograms.	https://pokeapi.co/api/v2/pokemon/171	{}
What color is a Chinchou?	Usually, Chinchou is blue.	https://pokeapi.co/api/v2/pokemon/171	{}
Tell me about Chinchou.	Its two antennae glow softly to lure in prey,
making it a useful Pokémon for night fishing.	https://pokeapi.co/api/v2/pokemon/171	{}
What type of Pokémon is Lanturn?	Lanturn is a electric/water Pokémon.	https://pokeapi.co/api/v2/pokemon/172	{}
How tall is Lanturn?	Lanturn is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/172	{}
Where can I find a Lanturn?	Lanturn is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/172	{}
How much does Lanturn weigh?	The average Lanturn is about 22.5 kilograms.	https://pokeapi.co/api/v2/pokemon/172	{}
What color is a Lanturn?	Usually, Lanturn is blue.	https://pokeapi.co/api/v2/pokemon/172	{}
Tell me about Lanturn.	When the bacteria living inside its antennae
absorb Lanturn’s bodily fluids, a strong
luminescent effect is produced.	https://pokeapi.co/api/v2/pokemon/172	{}
What type of Pokémon is Pichu?	Pichu is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/173	{}
How tall is Pichu?	Pichu is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/173	{}
Where can I find a Pichu?	Pichu is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/173	{}
How much does Pichu weigh?	The average Pichu is about 2 kilograms.	https://pokeapi.co/api/v2/pokemon/173	{}
What color is a Pichu?	Usually, Pichu is yellow.	https://pokeapi.co/api/v2/pokemon/173	{}
Tell me about Pichu.	It still can’t use electricity well. When it’s
surprised or excited, it discharges
electricity unintentionally.	https://pokeapi.co/api/v2/pokemon/173	{}
What type of Pokémon is Cleffa?	Cleffa is a fairy Pokémon.	https://pokeapi.co/api/v2/pokemon/174	{}
How tall is Cleffa?	Cleffa is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/174	{}
Where can I find a Cleffa?	Cleffa is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/174	{}
How much does Cleffa weigh?	The average Cleffa is about 3 kilograms.	https://pokeapi.co/api/v2/pokemon/174	{}
What color is a Cleffa?	Usually, Cleffa is pink.	https://pokeapi.co/api/v2/pokemon/174	{}
Tell me about Cleffa.	On nights with many shooting stars,
they gather in packs and dance in circles. If you
should see them, something good will happen!	https://pokeapi.co/api/v2/pokemon/174	{}
What type of Pokémon is Igglybuff?	Igglybuff is a fairy/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/175	{}
How tall is Igglybuff?	Igglybuff is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/175	{}
Where can I find a Igglybuff?	Igglybuff is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/175	{}
How much does Igglybuff weigh?	The average Igglybuff is about 1 kilograms.	https://pokeapi.co/api/v2/pokemon/175	{}
What color is a Igglybuff?	Usually, Igglybuff is pink.	https://pokeapi.co/api/v2/pokemon/175	{}
Tell me about Igglybuff.	It’s always practicing its singing because it
wants to improve. Even when it’s asleep,
it keeps singing in its dreams!	https://pokeapi.co/api/v2/pokemon/175	{}
What type of Pokémon is Togepi?	Togepi is a fairy Pokémon.	https://pokeapi.co/api/v2/pokemon/176	{}
How tall is Togepi?	Togepi is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/176	{}
Where can I find a Togepi?	Togepi is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/176	{}
How much does Togepi weigh?	The average Togepi is about 1.5 kilograms.	https://pokeapi.co/api/v2/pokemon/176	{}
What color is a Togepi?	Usually, Togepi is white.	https://pokeapi.co/api/v2/pokemon/176	{}
Tell me about Togepi.	As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others.	https://pokeapi.co/api/v2/pokemon/176	{}
What type of Pokémon is Togetic?	Togetic is a flying/fairy Pokémon.	https://pokeapi.co/api/v2/pokemon/177	{}
How tall is Togetic?	Togetic is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/177	{}
Where can I find a Togetic?	Togetic is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/177	{}
How much does Togetic weigh?	The average Togetic is about 3.2 kilograms.	https://pokeapi.co/api/v2/pokemon/177	{}
What color is a Togetic?	Usually, Togetic is white.	https://pokeapi.co/api/v2/pokemon/177	{}
Tell me about Togetic.	Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person.	https://pokeapi.co/api/v2/pokemon/177	{}
What type of Pokémon is Natu?	Natu is a flying/psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/178	{}
How tall is Natu?	Natu is 0.2 meters tall.	https://pokeapi.co/api/v2/pokemon/178	{}
Where can I find a Natu?	Natu is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/178	{}
How much does Natu weigh?	The average Natu is about 2 kilograms.	https://pokeapi.co/api/v2/pokemon/178	{}
What color is a Natu?	Usually, Natu is green.	https://pokeapi.co/api/v2/pokemon/178	{}
Tell me about Natu.	Although it still can’t fly, its jumping power is
outstanding. It jumps way up into trees and
plucks the buds from the branches.	https://pokeapi.co/api/v2/pokemon/178	{}
What type of Pokémon is Xatu?	Xatu is a flying/psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/179	{}
How tall is Xatu?	Xatu is 1.5 meters tall.	https://pokeapi.co/api/v2/pokemon/179	{}
Where can I find a Xatu?	Xatu is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/179	{}
How much does Xatu weigh?	The average Xatu is about 15 kilograms.	https://pokeapi.co/api/v2/pokemon/179	{}
What color is a Xatu?	Usually, Xatu is green.	https://pokeapi.co/api/v2/pokemon/179	{}
Tell me about Xatu.	It’s said that while this Pokémon has the power
to predict the future, it’s not powerful enough
to change the future it sees.	https://pokeapi.co/api/v2/pokemon/179	{}
What type of Pokémon is Mareep?	Mareep is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/180	{}
How tall is Mareep?	Mareep is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/180	{}
Where can I find a Mareep?	Mareep is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/180	{}
How much does Mareep weigh?	The average Mareep is about 7.8 kilograms.	https://pokeapi.co/api/v2/pokemon/180	{}
What color is a Mareep?	Usually, Mareep is white.	https://pokeapi.co/api/v2/pokemon/180	{}
Tell me about Mareep.	Clothing made from Mareep’s fleece is easily
charged with static electricity, so a special
process is used on it.	https://pokeapi.co/api/v2/pokemon/180	{}
What type of Pokémon is Flaaffy?	Flaaffy is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/181	{}
How tall is Flaaffy?	Flaaffy is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/181	{}
Where can I find a Flaaffy?	Flaaffy is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/181	{}
How much does Flaaffy weigh?	The average Flaaffy is about 13.3 kilograms.	https://pokeapi.co/api/v2/pokemon/181	{}
What color is a Flaaffy?	Usually, Flaaffy is pink.	https://pokeapi.co/api/v2/pokemon/181	{}
Tell me about Flaaffy.	In the places on its body where fleece doesn’t
grow, its skin is rubbery and doesn’t conduct
electricity. Those spots are safe to touch.	https://pokeapi.co/api/v2/pokemon/181	{}
What type of Pokémon is Ampharos?	Ampharos is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/182	{}
How tall is Ampharos?	Ampharos is 1.4 meters tall.	https://pokeapi.co/api/v2/pokemon/182	{}
Where can I find a Ampharos?	Ampharos is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/182	{}
How much does Ampharos weigh?	The average Ampharos is about 61.5 kilograms.	https://pokeapi.co/api/v2/pokemon/182	{}
What color is a Ampharos?	Usually, Ampharos is yellow.	https://pokeapi.co/api/v2/pokemon/182	{}
Tell me about Ampharos.	The light from its tail can be seen from space.
This is why you can always tell exactly where it
is, which is why it usually keeps the light off.	https://pokeapi.co/api/v2/pokemon/182	{}
What type of Pokémon is Bellossom?	Bellossom is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/183	{}
How tall is Bellossom?	Bellossom is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/183	{}
Where can I find a Bellossom?	Bellossom is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/183	{}
How much does Bellossom weigh?	The average Bellossom is about 5.8 kilograms.	https://pokeapi.co/api/v2/pokemon/183	{}
What color is a Bellossom?	Usually, Bellossom is green.	https://pokeapi.co/api/v2/pokemon/183	{}
Tell me about Bellossom.	A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep.	https://pokeapi.co/api/v2/pokemon/183	{}
What type of Pokémon is Marill?	Marill is a fairy/water Pokémon.	https://pokeapi.co/api/v2/pokemon/184	{}
How tall is Marill?	Marill is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/184	{}
Where can I find a Marill?	Marill is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/184	{}
How much does Marill weigh?	The average Marill is about 8.5 kilograms.	https://pokeapi.co/api/v2/pokemon/184	{}
What color is a Marill?	Usually, Marill is blue.	https://pokeapi.co/api/v2/pokemon/184	{}
Tell me about Marill.	When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch.	https://pokeapi.co/api/v2/pokemon/184	{}
What type of Pokémon is Azumarill?	Azumarill is a fairy/water Pokémon.	https://pokeapi.co/api/v2/pokemon/185	{}
How tall is Azumarill?	Azumarill is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/185	{}
Where can I find a Azumarill?	Azumarill is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/185	{}
How much does Azumarill weigh?	The average Azumarill is about 28.5 kilograms.	https://pokeapi.co/api/v2/pokemon/185	{}
What color is a Azumarill?	Usually, Azumarill is blue.	https://pokeapi.co/api/v2/pokemon/185	{}
Tell me about Azumarill.	Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe.	https://pokeapi.co/api/v2/pokemon/185	{}
What type of Pokémon is Sudowoodo?	Sudowoodo is a rock Pokémon.	https://pokeapi.co/api/v2/pokemon/186	{}
How tall is Sudowoodo?	Sudowoodo is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/186	{}
Where can I find a Sudowoodo?	Sudowoodo is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/186	{}
How much does Sudowoodo weigh?	The average Sudowoodo is about 38 kilograms.	https://pokeapi.co/api/v2/pokemon/186	{}
What color is a Sudowoodo?	Usually, Sudowoodo is brown.	https://pokeapi.co/api/v2/pokemon/186	{}
Tell me about Sudowoodo.	It’s so popular with the elderly that there’s a
magazine devoted to this Pokémon. Fans obsess
over the particular length and angle of its arms.	https://pokeapi.co/api/v2/pokemon/186	{}
What type of Pokémon is Politoed?	Politoed is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/187	{}
How tall is Politoed?	Politoed is 1.1 meters tall.	https://pokeapi.co/api/v2/pokemon/187	{}
Where can I find a Politoed?	Politoed is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/187	{}
How much does Politoed weigh?	The average Politoed is about 33.9 kilograms.	https://pokeapi.co/api/v2/pokemon/187	{}
What color is a Politoed?	Usually, Politoed is green.	https://pokeapi.co/api/v2/pokemon/187	{}
Tell me about Politoed.	Although its cries sound like screams, a
composer created a beautiful ballad that was
influenced by the sounds.	https://pokeapi.co/api/v2/pokemon/187	{}
What type of Pokémon is Hoppip?	Hoppip is a flying/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/188	{}
How tall is Hoppip?	Hoppip is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/188	{}
Where can I find a Hoppip?	Hoppip is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/188	{}
How much does Hoppip weigh?	The average Hoppip is about 0.5 kilograms.	https://pokeapi.co/api/v2/pokemon/188	{}
What color is a Hoppip?	Usually, Hoppip is pink.	https://pokeapi.co/api/v2/pokemon/188	{}
Tell me about Hoppip.	This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.	https://pokeapi.co/api/v2/pokemon/188	{}
What type of Pokémon is Skiploom?	Skiploom is a flying/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/189	{}
How tall is Skiploom?	Skiploom is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/189	{}
Where can I find a Skiploom?	Skiploom is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/189	{}
How much does Skiploom weigh?	The average Skiploom is about 1 kilograms.	https://pokeapi.co/api/v2/pokemon/189	{}
What color is a Skiploom?	Usually, Skiploom is green.	https://pokeapi.co/api/v2/pokemon/189	{}
Tell me about Skiploom.	Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer.	https://pokeapi.co/api/v2/pokemon/189	{}
What type of Pokémon is Jumpluff?	Jumpluff is a flying/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/190	{}
How tall is Jumpluff?	Jumpluff is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/190	{}
Where can I find a Jumpluff?	Jumpluff is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/190	{}
How much does Jumpluff weigh?	The average Jumpluff is about 3 kilograms.	https://pokeapi.co/api/v2/pokemon/190	{}
What color is a Jumpluff?	Usually, Jumpluff is blue.	https://pokeapi.co/api/v2/pokemon/190	{}
Tell me about Jumpluff.	Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.	https://pokeapi.co/api/v2/pokemon/190	{}
What type of Pokémon is Aipom?	Aipom is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/191	{}
How tall is Aipom?	Aipom is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/191	{}
Where can I find a Aipom?	Aipom is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/191	{}
