Question	Answer	Source	Metadata
How tall is Mightyena?	Mightyena is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/263	{}
Where can I find a Mightyena?	Mightyena is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/263	{}
How much does Mightyena weigh?	The average Mightyena is about 37 kilograms.	https://pokeapi.co/api/v2/pokemon/263	{}
What color is a Mightyena?	Usually, Mightyena is gray.	https://pokeapi.co/api/v2/pokemon/263	{}
Tell me about Mightyena.	Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill.	https://pokeapi.co/api/v2/pokemon/263	{}
What type of Pokémon is Zigzagoon?	Zigzagoon is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/264	{}
How tall is Zigzagoon?	Zigzagoon is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/264	{}
Where can I find a Zigzagoon?	Zigzagoon is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/264	{}
How much does Zigzagoon weigh?	The average Zigzagoon is about 17.5 kilograms.	https://pokeapi.co/api/v2/pokemon/264	{}
What color is a Zigzagoon?	Usually, Zigzagoon is brown.	https://pokeapi.co/api/v2/pokemon/264	{}
Tell me about Zigzagoon.	The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle.	https://pokeapi.co/api/v2/pokemon/264	{}
What type of Pokémon is Linoone?	Linoone is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/265	{}
How tall is Linoone?	Linoone is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/265	{}
Where can I find a Linoone?	Linoone is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/265	{}
How much does Linoone weigh?	The average Linoone is about 32.5 kilograms.	https://pokeapi.co/api/v2/pokemon/265	{}
What color is a Linoone?	Usually, Linoone is white.	https://pokeapi.co/api/v2/pokemon/265	{}
Tell me about Linoone.	When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn.	https://pokeapi.co/api/v2/pokemon/265	{}
What type of Pokémon is Wurmple?	Wurmple is a bug Pokémon.	https://pokeapi.co/api/v2/pokemon/266	{}
How tall is Wurmple?	Wurmple is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/266	{}
Where can I find a Wurmple?	Wurmple is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/266	{}
How much does Wurmple weigh?	The average Wurmple is about 3.6 kilograms.	https://pokeapi.co/api/v2/pokemon/266	{}
What color is a Wurmple?	Usually, Wurmple is red.	https://pokeapi.co/api/v2/pokemon/266	{}
Tell me about Wurmple.	Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes.	https://pokeapi.co/api/v2/pokemon/266	{}
What type of Pokémon is Silcoon?	Silcoon is a bug Pokémon.	https://pokeapi.co/api/v2/pokemon/267	{}
How tall is Silcoon?	Silcoon is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/267	{}
Where can I find a Silcoon?	Silcoon is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/267	{}
How much does Silcoon weigh?	The average Silcoon is about 10 kilograms.	https://pokeapi.co/api/v2/pokemon/267	{}
What color is a Silcoon?	Usually, Silcoon is white.	https://pokeapi.co/api/v2/pokemon/267	{}
Tell me about Silcoon.	Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk.	https://pokeapi.co/api/v2/pokemon/267	{}
What type of Pokémon is Beautifly?	Beautifly is a flying/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/268	{}
How tall is Beautifly?	Beautifly is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/268	{}
Where can I find a Beautifly?	Beautifly is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/268	{}
How much does Beautifly weigh?	The average Beautifly is about 28.4 kilograms.	https://pokeapi.co/api/v2/pokemon/268	{}
What color is a Beautifly?	Usually, Beautifly is yellow.	https://pokeapi.co/api/v2/pokemon/268	{}
Tell me about Beautifly.	Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen.	https://pokeapi.co/api/v2/pokemon/268	{}
What type of Pokémon is Cascoon?	Cascoon is a bug Pokémon.	https://pokeapi.co/api/v2/pokemon/269	{}
How tall is Cascoon?	Cascoon is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/269	{}
Where can I find a Cascoon?	Cascoon is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/269	{}
How much does Cascoon weigh?	The average Cascoon is about 11.5 kilograms.	https://pokeapi.co/api/v2/pokemon/269	{}
What color is a Cascoon?	Usually, Cascoon is purple.	https://pokeapi.co/api/v2/pokemon/269	{}
Tell me about Cascoon.	If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured.	https://pokeapi.co/api/v2/pokemon/269	{}
What type of Pokémon is Dustox?	Dustox is a poison/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/270	{}
How tall is Dustox?	Dustox is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/270	{}
Where can I find a Dustox?	Dustox is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/270	{}
How much does Dustox weigh?	The average Dustox is about 31.6 kilograms.	https://pokeapi.co/api/v2/pokemon/270	{}
What color is a Dustox?	Usually, Dustox is green.	https://pokeapi.co/api/v2/pokemon/270	{}
Tell me about Dustox.	When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar.	https://pokeapi.co/api/v2/pokemon/270	{}
What type of Pokémon is Lotad?	Lotad is a grass/water Pokémon.	https://pokeapi.co/api/v2/pokemon/271	{}
How tall is Lotad?	Lotad is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/271	{}
Where can I find a Lotad?	Lotad is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/271	{}
How much does Lotad weigh?	The average Lotad is about 2.6 kilograms.	https://pokeapi.co/api/v2/pokemon/271	{}
What color is a Lotad?	Usually, Lotad is green.	https://pokeapi.co/api/v2/pokemon/271	{}
Tell me about Lotad.	Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water.	https://pokeapi.co/api/v2/pokemon/271	{}
What type of Pokémon is Lombre?	Lombre is a grass/water Pokémon.	https://pokeapi.co/api/v2/pokemon/272	{}
How tall is Lombre?	Lombre is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/272	{}
Where can I find a Lombre?	Lombre is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/272	{}
How much does Lombre weigh?	The average Lombre is about 32.5 kilograms.	https://pokeapi.co/api/v2/pokemon/272	{}
What color is a Lombre?	Usually, Lombre is green.	https://pokeapi.co/api/v2/pokemon/272	{}
Tell me about Lombre.	Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child.	https://pokeapi.co/api/v2/pokemon/272	{}
What type of Pokémon is Ludicolo?	Ludicolo is a grass/water Pokémon.	https://pokeapi.co/api/v2/pokemon/273	{}
How tall is Ludicolo?	Ludicolo is 1.5 meters tall.	https://pokeapi.co/api/v2/pokemon/273	{}
Where can I find a Ludicolo?	Ludicolo is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/273	{}
How much does Ludicolo weigh?	The average Ludicolo is about 55 kilograms.	https://pokeapi.co/api/v2/pokemon/273	{}
What color is a Ludicolo?	Usually, Ludicolo is green.	https://pokeapi.co/api/v2/pokemon/273	{}
Tell me about Ludicolo.	Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power.	https://pokeapi.co/api/v2/pokemon/273	{}
What type of Pokémon is Seedot?	Seedot is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/274	{}
How tall is Seedot?	Seedot is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/274	{}
Where can I find a Seedot?	Seedot is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/274	{}
How much does Seedot weigh?	The average Seedot is about 4 kilograms.	https://pokeapi.co/api/v2/pokemon/274	{}
What color is a Seedot?	Usually, Seedot is brown.	https://pokeapi.co/api/v2/pokemon/274	{}
Tell me about Seedot.	Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves.	https://pokeapi.co/api/v2/pokemon/274	{}
What type of Pokémon is Nuzleaf?	Nuzleaf is a dark/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/275	{}
How tall is Nuzleaf?	Nuzleaf is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/275	{}
Where can I find a Nuzleaf?	Nuzleaf is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/275	{}
How much does Nuzleaf weigh?	The average Nuzleaf is about 28 kilograms.	https://pokeapi.co/api/v2/pokemon/275	{}
What color is a Nuzleaf?	Usually, Nuzleaf is brown.	https://pokeapi.co/api/v2/pokemon/275	{}
Tell me about Nuzleaf.	This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest.	https://pokeapi.co/api/v2/pokemon/275	{}
What type of Pokémon is Shiftry?	Shiftry is a dark/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/276	{}
How tall is Shiftry?	Shiftry is 1.3 meters tall.	https://pokeapi.co/api/v2/pokemon/276	{}
Where can I find a Shiftry?	Shiftry is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/276	{}
How much does Shiftry weigh?	The average Shiftry is about 59.6 kilograms.	https://pokeapi.co/api/v2/pokemon/276	{}
What color is a Shiftry?	Usually, Shiftry is brown.	https://pokeapi.co/api/v2/pokemon/276	{}
Tell me about Shiftry.	Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests.	https://pokeapi.co/api/v2/pokemon/276	{}
What type of Pokémon is Taillow?	Taillow is a flying/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/277	{}
How tall is Taillow?	Taillow is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/277	{}
Where can I find a Taillow?	Taillow is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/277	{}
How much does Taillow weigh?	The average Taillow is about 2.3 kilograms.	https://pokeapi.co/api/v2/pokemon/277	{}
What color is a Taillow?	Usually, Taillow is blue.	https://pokeapi.co/api/v2/pokemon/277	{}
Tell me about Taillow.	Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests.	https://pokeapi.co/api/v2/pokemon/277	{}
What type of Pokémon is Swellow?	Swellow is a flying/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/278	{}
How tall is Swellow?	Swellow is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/278	{}
Where can I find a Swellow?	Swellow is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/278	{}
How much does Swellow weigh?	The average Swellow is about 19.8 kilograms.	https://pokeapi.co/api/v2/pokemon/278	{}
What color is a Swellow?	Usually, Swellow is blue.	https://pokeapi.co/api/v2/pokemon/278	{}
Tell me about Swellow.	Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings.	https://pokeapi.co/api/v2/pokemon/278	{}
What type of Pokémon is Wingull?	Wingull is a flying/water Pokémon.	https://pokeapi.co/api/v2/pokemon/279	{}
How tall is Wingull?	Wingull is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/279	{}
Where can I find a Wingull?	Wingull is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/279	{}
How much does Wingull weigh?	The average Wingull is about 9.5 kilograms.	https://pokeapi.co/api/v2/pokemon/279	{}
What color is a Wingull?	Usually, Wingull is white.	https://pokeapi.co/api/v2/pokemon/279	{}
Tell me about Wingull.	With its long, thin wings, it catches updrafts
and flies like a glider high up into the sky.	https://pokeapi.co/api/v2/pokemon/279	{}
What type of Pokémon is Pelipper?	Pelipper is a flying/water Pokémon.	https://pokeapi.co/api/v2/pokemon/280	{}
How tall is Pelipper?	Pelipper is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/280	{}
Where can I find a Pelipper?	Pelipper is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/280	{}
How much does Pelipper weigh?	The average Pelipper is about 28 kilograms.	https://pokeapi.co/api/v2/pokemon/280	{}
What color is a Pelipper?	Usually, Pelipper is yellow.	https://pokeapi.co/api/v2/pokemon/280	{}
Tell me about Pelipper.	It places small Pokémon into its spacious beak
and carries them around. No one knows where
it’s taking them.	https://pokeapi.co/api/v2/pokemon/280	{}
What type of Pokémon is Ralts?	Ralts is a fairy/psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/281	{}
How tall is Ralts?	Ralts is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/281	{}
Where can I find a Ralts?	Ralts is commonly found in the urban.	https://pokeapi.co/api/v2/pokemon/281	{}
How much does Ralts weigh?	The average Ralts is about 6.6 kilograms.	https://pokeapi.co/api/v2/pokemon/281	{}
What color is a Ralts?	Usually, Ralts is white.	https://pokeapi.co/api/v2/pokemon/281	{}
Tell me about Ralts.	Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way.	https://pokeapi.co/api/v2/pokemon/281	{}
What type of Pokémon is Kirlia?	Kirlia is a fairy/psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/282	{}
How tall is Kirlia?	Kirlia is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/282	{}
Where can I find a Kirlia?	Kirlia is commonly found in the urban.	https://pokeapi.co/api/v2/pokemon/282	{}
How much does Kirlia weigh?	The average Kirlia is about 20.2 kilograms.	https://pokeapi.co/api/v2/pokemon/282	{}
What color is a Kirlia?	Usually, Kirlia is white.	https://pokeapi.co/api/v2/pokemon/282	{}
Tell me about Kirlia.	Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery.	https://pokeapi.co/api/v2/pokemon/282	{}
What type of Pokémon is Gardevoir?	Gardevoir is a fairy/psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/283	{}
How tall is Gardevoir?	Gardevoir is 1.6 meters tall.	https://pokeapi.co/api/v2/pokemon/283	{}
Where can I find a Gardevoir?	Gardevoir is commonly found in the urban.	https://pokeapi.co/api/v2/pokemon/283	{}
How much does Gardevoir weigh?	The average Gardevoir is about 48.4 kilograms.	https://pokeapi.co/api/v2/pokemon/283	{}
What color is a Gardevoir?	Usually, Gardevoir is white.	https://pokeapi.co/api/v2/pokemon/283	{}
Tell me about Gardevoir.	Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life.	https://pokeapi.co/api/v2/pokemon/283	{}
What type of Pokémon is Surskit?	Surskit is a water/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/284	{}
How tall is Surskit?	Surskit is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/284	{}
Where can I find a Surskit?	Surskit is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/284	{}
How much does Surskit weigh?	The average Surskit is about 1.7 kilograms.	https://pokeapi.co/api/v2/pokemon/284	{}
What color is a Surskit?	Usually, Surskit is blue.	https://pokeapi.co/api/v2/pokemon/284	{}
Tell me about Surskit.	If it’s in a pinch, it will secrete a sweet liquid
from the tip of its head. Syrup made from
gathering that liquid is tasty on bread.	https://pokeapi.co/api/v2/pokemon/284	{}
What type of Pokémon is Masquerain?	Masquerain is a flying/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/285	{}
How tall is Masquerain?	Masquerain is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/285	{}
Where can I find a Masquerain?	Masquerain is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/285	{}
How much does Masquerain weigh?	The average Masquerain is about 3.6 kilograms.	https://pokeapi.co/api/v2/pokemon/285	{}
What color is a Masquerain?	Usually, Masquerain is blue.	https://pokeapi.co/api/v2/pokemon/285	{}
Tell me about Masquerain.	Masquerain intimidates enemies with the eyelike
patterns of its eyespots. If that doesn’t work, it
deftly makes its escape on its set of four wings.	https://pokeapi.co/api/v2/pokemon/285	{}
What type of Pokémon is Shroomish?	Shroomish is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/286	{}
How tall is Shroomish?	Shroomish is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/286	{}
Where can I find a Shroomish?	Shroomish is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/286	{}
How much does Shroomish weigh?	The average Shroomish is about 4.5 kilograms.	https://pokeapi.co/api/v2/pokemon/286	{}
What color is a Shroomish?	Usually, Shroomish is brown.	https://pokeapi.co/api/v2/pokemon/286	{}
Tell me about Shroomish.	If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt.	https://pokeapi.co/api/v2/pokemon/286	{}
What type of Pokémon is Breloom?	Breloom is a fighting/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/287	{}
How tall is Breloom?	Breloom is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/287	{}
Where can I find a Breloom?	Breloom is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/287	{}
How much does Breloom weigh?	The average Breloom is about 39.2 kilograms.	https://pokeapi.co/api/v2/pokemon/287	{}
What color is a Breloom?	Usually, Breloom is green.	https://pokeapi.co/api/v2/pokemon/287	{}
Tell me about Breloom.	The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble.	https://pokeapi.co/api/v2/pokemon/287	{}
What type of Pokémon is Slakoth?	Slakoth is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/288	{}
How tall is Slakoth?	Slakoth is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/288	{}
Where can I find a Slakoth?	Slakoth is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/288	{}
How much does Slakoth weigh?	The average Slakoth is about 24 kilograms.	https://pokeapi.co/api/v2/pokemon/288	{}
What color is a Slakoth?	Usually, Slakoth is brown.	https://pokeapi.co/api/v2/pokemon/288	{}
Tell me about Slakoth.	Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion.	https://pokeapi.co/api/v2/pokemon/288	{}
What type of Pokémon is Vigoroth?	Vigoroth is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/289	{}
How tall is Vigoroth?	Vigoroth is 1.4 meters tall.	https://pokeapi.co/api/v2/pokemon/289	{}
Where can I find a Vigoroth?	Vigoroth is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/289	{}
How much does Vigoroth weigh?	The average Vigoroth is about 46.5 kilograms.	https://pokeapi.co/api/v2/pokemon/289	{}
What color is a Vigoroth?	Usually, Vigoroth is white.	https://pokeapi.co/api/v2/pokemon/289	{}
Tell me about Vigoroth.	Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down.	https://pokeapi.co/api/v2/pokemon/289	{}
What type of Pokémon is Slaking?	Slaking is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/290	{}
How tall is Slaking?	Slaking is 2 meters tall.	https://pokeapi.co/api/v2/pokemon/290	{}
Where can I find a Slaking?	Slaking is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/290	{}
How much does Slaking weigh?	The average Slaking is about 130.5 kilograms.	https://pokeapi.co/api/v2/pokemon/290	{}
